,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling,polution_clf
183,EEA_3161-05-5,2009,2009-01--2009-12,FRHR233,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
210,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
213,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
221,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0248,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
227,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0112010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
230,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
244,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0143A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
256,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R548,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
266,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R557,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
268,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
273,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
280,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R700,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
301,EEA_3161-01-1,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
302,EEA_3161-01-1,2009,2009-01--2009-12,FRB1R475,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
305,EEA_31615-01-7,2009,2009-01--2009-12,FRB1R545,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
310,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R600,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
312,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R604,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
324,EEA_31615-01-7,2009,2009-01--2009-12,FRDR173B,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
327,EEA_31615-01-7,2009,2009-01--2009-12,FRDR172,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
328,EEA_3161-03-3,2009,2009-01--2009-12,FRDR1901,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
330,EEA_31615-01-7,2009,2009-01--2009-12,FRCR127,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
331,EEA_3161-02-2,2009,2009-01--2009-12,FRCR127,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
333,EEA_3161-02-2,2009,2009-01--2009-12,ES10788,Spain,50941692.0,1.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
334,EEA_3161-03-3,2009,2009-01--2009-12,FRHR321,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
338,EEA_3161-05-5,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
340,EEA_31615-01-7,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
353,EEA_3161-01-1,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
361,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0002,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
369,EEA_3161-03-3,2009,2009-01--2009-12,FRHR327,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
376,EEA_3161-03-3,2009,2009-01--2009-12,ES10788,Spain,50941692.0,1.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
378,EEA_3161-01-1,2009,2009-01--2009-12,FRHR354-I5030600,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
381,EEA_3161-02-2,2009,2009-01--2009-12,FRHR314,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
384,EEA_3161-02-2,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
391,EEA_3161-02-2,2009,2009-01--2009-12,FRHR315,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
397,EEA_31615-01-7,2009,2009-01--2009-12,FRHR354-I5030600,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
417,EEA_31615-01-7,2009,2009-01--2009-12,FRFR183,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
426,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0460C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
434,EEA_3161-02-2,2009,2009-01--2009-12,ES030MSPF0434021,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
441,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0517010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
450,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006806,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
451,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010084,United Kingdom,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
453,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010000,United Kingdom,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
454,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010156,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
472,EEA_31615-01-7,2008,2008-01--2008-12,FRDR498,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
473,EEA_3161-02-2,2008,2008-01--2008-12,FRDR498,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
475,EEA_3161-05-5,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
476,EEA_3161-02-2,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
479,EEA_3161-05-5,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
480,EEA_3161-02-2,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
484,EEA_3161-01-1,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
487,EEA_3161-01-1,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
501,EEA_31615-01-7,2008,2008-01--2008-12,FRDR541A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
523,EEA_3161-05-5,2008,2008-01--2008-12,FRDR2023,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
524,EEA_31615-01-7,2008,2008-01--2008-12,FRDR2023,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
533,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0366B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
538,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0426,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
539,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0431,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
542,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0366B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
552,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0361,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
554,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0433,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
562,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0361,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
563,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0444,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
577,EEA_3161-02-2,2008,2008-01--2008-12,FRDR579B,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
584,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0167A,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
588,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0005B,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
591,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
598,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
599,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
605,EEA_31615-01-7,2009,2009-01--2009-12,FRCR19,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
606,EEA_3161-02-2,2009,2009-01--2009-12,FRCR19,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
610,EEA_3161-01-1,2009,2009-01--2009-12,FRCR69,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
618,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0167A,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
623,EEA_3161-02-2,2009,2009-01--2009-12,FRGR1496,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
628,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
634,EEA_3161-05-5,2009,2009-01--2009-12,FRCR78,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
636,EEA_3161-05-5,2009,2009-01--2009-12,FRCR20,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
637,EEA_31615-01-7,2009,2009-01--2009-12,FRCR20,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
641,EEA_3161-01-1,2009,2009-01--2009-12,FRDR184,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
646,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
653,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010493,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
654,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010492,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
655,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010657,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
657,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010612,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
674,EEA_3161-03-3,2008,2008-01--2008-12,FRGR1026,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
681,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0460C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
685,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0520,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
688,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0524,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
724,EEA_31615-01-7,2008,2008-01--2008-12,FRHR77,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
725,EEA_3161-02-2,2008,2008-01--2008-12,FRHR77,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
726,EEA_3161-05-5,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
727,EEA_31615-01-7,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
728,EEA_3161-02-2,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
730,EEA_3161-01-1,2008,2008-01--2008-12,FRDR182,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
733,EEA_3161-01-1,2008,2008-01--2008-12,FRDR136B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
734,EEA_3161-05-5,2008,2008-01--2008-12,FRDR136B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
735,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11502,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
736,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11502,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
744,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11359,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
745,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11359,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
753,EEA_3161-01-1,2008,2008-01--2008-12,FRHR87,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
760,EEA_3161-05-5,2008,2008-01--2008-12,FRDR182,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
761,EEA_3161-02-2,2008,2008-01--2008-12,FRDR182,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
767,EEA_3161-02-2,2008,2008-01--2008-12,FRHR89,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
769,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
770,EEA_31615-01-7,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
771,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
783,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R548,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
797,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0229,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
802,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0286,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
806,EEA_3161-01-1,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
808,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
814,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
815,EEA_31615-01-7,2009,2009-01--2009-12,ES12113,Spain,50941692.0,6.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
818,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
821,EEA_3161-05-5,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
825,EEA_3161-03-3,2009,2009-01--2009-12,ES12121,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
834,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R574,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
842,EEA_31615-01-7,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
843,EEA_3161-02-2,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
850,EEA_31615-01-7,2009,2009-01--2009-12,ES12120,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
854,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
855,EEA_3161-03-3,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
863,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0144A,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
870,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0310010,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1
872,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0329010,Spain,50941692.0,3.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
875,EEA_3161-01-1,2009,2009-01--2009-12,FRCR90,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
880,EEA_3161-03-3,2009,2009-01--2009-12,FRCR151,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
884,EEA_3161-03-3,2009,2009-01--2009-12,FRCR22,France,71176346.0,7.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
886,EEA_31615-01-7,2007,2007-01--2007-12,UKSC023221,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
887,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005105,United Kingdom,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
889,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005219,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
891,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005222,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
892,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005228,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
